"id","time1","x","y","SL","TA","state","track_length","rep"
"1_1",1,0,0,NA,NA,NA,1000,"1"
"1_1",2,2.99749773122569,1.48780651080394,3.34642508690897,0.46072294958872,2,1000,"1"
"1_1",3,-2.31698857434034,0.924685980701914,5.34423702912505,2.78643534429658,2,1000,"1"
"1_1",4,-6.45758091593378,1.32081746066528,4.15949817750653,-0.200945593504832,2,1000,"1"
"1_1",5,-6.02516987723578,3.91516274295458,2.63013435970953,-1.64057261108578,2,1000,"1"
"1_1",6,-5.327247953748,4.64904823055792,1.01276005065349,-0.59512960727408,2,1000,"1"
"1_1",7,-1.58568670128547,-0.185685777300103,6.11342240751184,-1.72268943446109,2,1000,"1"
"1_1",8,-1.12093147161432,-0.136677705560594,0.467332017523206,1.01723990062782,2,1000,"1"
"1_1",9,-3.20109931713794,-3.76886545157032,4.18567629993214,-2.19596421239241,2,1000,"1"
"1_1",10,-4.15513818748245,-1.61888666280231,2.35214773309003,-2.20384695774611,2,1000,"1"
"1_1",11,1.27225519703195,-3.42614365205104,5.72038257247355,-2.30987482748961,2,1000,"1"
"1_1",12,1.2192188438281,-2.49272851939089,0.934920672913023,1.94899472457336,2,1000,"1"
"1_1",13,-0.640082778511749,-0.878893132569734,2.46200470726434,0.799197838917896,2,1000,"1"
"1_1",14,-2.04178004987385,-1.368221070197,1.48465385564667,1.05070973272353,2,1000,"1"
"1_1",15,-5.77194210591486,3.73441498127713,6.32068063092351,-1.27541916646484,2,1000,"1"
"1_1",16,-5.5158202885376,2.84255421486001,0.92790840712366,2.78999696465236,2,1000,"1"
"1_1",17,-9.26925358759352,-1.90920798683111,6.0553699764657,-0.948205481112867,2,1000,"1"
"1_1",18,-6.93665151092998,1.33144884982728,3.99285476583306,-3.09692525006457,2,1000,"1"
"1_1",19,-9.77841860273492,-0.240735646138195,3.24767675322217,2.70001178372267,2,1000,"1"
"1_1",20,-7.10665595341168,-3.22164270489477,4.00301418274573,1.79623018440279,2,1000,"1"
"1_1",21,-8.09019382725578,-3.2777047991081,0.985134360223694,-2.24462010518128,1,1000,"1"
"1_1",22,-8.76968483523363,-4.02127640669594,1.00727690608566,0.773458997401828,1,1000,"1"
"1_1",23,-8.5390062538595,-3.78411966503401,0.330841242925485,3.11043919961367,1,1000,"1"
"1_1",24,-8.59611987770714,-3.81477634338212,0.0648212770342305,2.83497465340609,1,1000,"1"
"1_1",25,-8.24515801141164,-3.55617317200308,0.435947051648384,-2.99919286247536,1,1000,"1"
"1_1",26,-8.10151642446746,-4.06894906070434,0.532514804989695,-1.93269744366795,1,1000,"1"
"1_1",27,-7.86473112564306,-3.88034982107896,0.30271595750246,1.97027377995386,1,1000,"1"
"1_1",28,-8.68919650323899,-1.57363984385289,2.44962325223466,1.24146395843458,1,1000,"1"
