"id","V1","V2","V3","V4","V5","V6","V7"
"1_1",0.398538522212373,0.0848471669497235,0.492202948969731,0.0226084653454085,0.00167773333452858,0.000109175044312687,1.59881439221316e-05
"1_1",0.995227299991505,0.00173635873744085,0.00277008811863825,0.000239633458705387,2.54139511311993e-05,1.17804524826767e-06,2.76973306682689e-08
"1_1",0.0982439169952098,0.817037316076719,0.0776758171745236,0.00647291441463013,0.000528309315970132,3.82985140159125e-05,3.42750893101122e-06
"1_1",0.96645365050521,0.0132984125693623,0.0183757650888856,0.00179019018682367,7.95943071589568e-05,2.2949982695363e-06,9.23442902928993e-08
"1_1",0.933146145664508,0.0594615842689239,0.0065669758684341,0.000766851113202868,4.74024991689891e-05,1.06434087411986e-05,3.97177021403178e-07
"1_1",0.992593860825624,0.00636933191741762,0.000962044761377166,7.0781293943318e-05,3.75423095978316e-06,2.24795495753427e-07,2.17518230220584e-09
"1_1",0.134814596619656,0.858440392371996,0.00592962532638876,0.000694985061032483,0.000116543091989378,3.431031842402e-06,4.2649709481548e-07
"1_1",0.980083379763843,0.0176026381696337,0.0021059683872399,0.000155759789502106,5.01398594040086e-05,2.08811426923539e-06,2.59161084996071e-08
"1_1",0.947160997885612,0.0425174288035124,0.0091699698517574,0.00101087907685129,0.000112702973353959,2.74803088780384e-05,5.41100034681786e-07
"1_1",0.454894198655141,0.52366732982469,0.0185948996243315,0.00263614640656777,0.000173485309503299,3.16608333647394e-05,2.27934640139851e-06
"1_1",0.441878360449568,0.536908190721261,0.0187534667730582,0.00221302744784357,0.000233644856036038,1.18830596095052e-05,1.42669262452556e-06
"1_1",0.2218235047896,0.579426124233517,0.180712134831926,0.016913587404479,0.00101873020933145,9.59397503143781e-05,9.97878083197687e-06
"1_1",0.990084019917194,0.0088710941746036,0.000968768378898707,7.06463969703017e-05,4.86424241221145e-06,5.06248782177394e-07,1.00641138700001e-07
"1_1",0.328761158750955,0.65509026928029,0.0129432658867646,0.00218151372261921,0.000823686606933532,0.000195338817720158,4.76693471708646e-06
"1_1",0.438908971649228,0.517177698630268,0.0408303553138757,0.00271789459005614,0.000343586355723029,1.99457914604139e-05,1.54766938936946e-06
"1_1",0.996199688472759,0.00340149945275899,0.000295738304942654,9.93961332291791e-05,3.43645236166657e-06,2.37926417482737e-07,3.25753057676766e-09
"1_1",0.537243014928352,0.0709600221015413,0.365642589298848,0.0250452014954493,0.000942318222951427,0.000146941438592161,1.99125142656674e-05
"1_1",0.805569348227375,0.187789654403032,0.00557029704045444,0.000995610753488057,7.27370792918688e-05,2.23789607947594e-06,1.14600279383552e-07
"1_1",0.972291603516873,0.0255085324190099,0.00200380427856158,0.000172943511017085,2.22650968127336e-05,8.32606254811995e-07,1.85714709866902e-08
"1_1",0.242687834145995,0.643018889264273,0.104410341782556,0.00855862278175987,0.00127076814064765,4.57770942725977e-05,7.76679049567512e-06
